holo_pdb_id,holo_chain
2IUZ,B
1YV3,A
2JDS,A
1LIC,A
2HKA,C
3EKS,A
1NX3,A
2YQS,A
2WI7,A
1BR6,A
1J6Z,A
1TR5,A
1FQC,A
2HVD,C
3F82,A
1G67,B
1G67,B
3BQM,C
1FTL,A
1D6Y,B
1EY3,F
1PZY,D
1XVC,A
1IMB,B
2PIQ,A
1HA3,B
3LTH,A
3DHH,E
1CTR,A
3H9J,D
3HOK,B
2WKW,B
1GHY,H
1OKE,B
3HZT,A
2EGH,B
3IP0,A
2BU2,A
2OHV,A
3GQZ,A
2W5K,B
1CIB,A
2OFP,A
2IXU,A
3BL7,A
1RYO,A
2Q8H,A
2IYQ,A
2IYQ,A
1GKY,A
1S9D,A
1ECC,B
2H4K,A
1EYJ,B
2BRL,A
3FQK,B
2GZ7,A
2V57,A
1CIB,A
1L5S,B
3IXJ,C
2AL4,F
3HQP,P
3HQP,P
3HQP,P
1U1D,F
2OO8,X
1Q0B,B
2NPQ,A
2BYS,J
2GIR,B
3CFN,B
1AFQ,C
1OW3,B
3HL8,A
1ANK,B
3HL7,A
2IEG,B
2EUM,A
3DC1,A
1T49,A
1GZF,C
3FGO,B
1ZA1,D
1H9G,A
1N0T,D
2OT1,D
4HAT,C
1GX8,A
1S9Q,B
2YXJ,A
1KUV,A
1GRN,A
1PZO,A
2WCG,A
2V5A,A
1PY2,A
1WUN,H
