apo_pdb_id,apo_chain,holo_pdb_id,holo_chain,ligand_id
3CHE,A,2IUZ,B,D1H
2AKA,A,1YV3,A,BIT
2GFC,A,2JDS,A,L20
1ALB,A,1LIC,A,HDS
1NEP,A,2HKA,C,C3S
3MN9,A,3EKS,A,CY9
1ALV,A,1NX3,A,ISA
2YQC,A,2YQS,A,UD1
2QFO,B,2WI7,A,2KL
1RTC,A,1BR6,A,PT1
1RDW,X,1J6Z,A,RHO
1TQO,A,1TR5,A,THP
3PUW,E,1FQC,A,GLO
3L7U,C,2HVD,C,ADP
1R1W,A,3F82,A,353
1G4E,B,1G67,B,POP
1G4E,B,1G67,B,TZP
3F74,C,3BQM,C,BQM
1MY1,C,1FTL,A,DNQ
2WGQ,B,1D6Y,B,HY1
1DUB,D,1EY3,F,DAK
1PZT,A,1PZY,D,UDP
1XMG,B,1XVC,A,5BR
1IMF,A,1IMB,B,LIP
2AX9,A,2PIQ,A,RB1
1EXM,A,1HA3,B,MAU
3KQA,B,3LTH,A,UD1
2BF3,A,3DHH,E,BML
1CLL,A,1CTR,A,TFP
3H5R,A,3H9J,D,APC
1NI6,D,3HOK,B,Q80
1QLW,B,2WKW,B,W22
1HAG,E,1GHY,H,121
1OK8,A,1OKE,B,BOG
3DXN,A,3HZT,A,J60
1K5H,C,2EGH,B,FOM
1HKA,A,3IP0,A,HHS
2BU8,A,2BU2,A,TF1
2OHG,A,2OHV,A,NHL
2BLS,B,3GQZ,A,GF7
1RHB,A,2W5K,B,NDP
1ADE,A,1CIB,A,IMP
1KS9,A,2OFP,A,PAF
1H09,A,2IXU,A,MU2
3BL9,B,3BL7,A,DD1
1BP5,A,1RYO,A,OXL
2Q8F,A,2Q8H,A,TF4
2IYT,A,2IYQ,A,ADP
2IYT,A,2IYQ,A,SKM
1EX6,A,1GKY,A,5GP
1RRG,A,1S9D,A,AFB
1ECJ,D,1ECC,B,PCP
2CM2,A,2H4K,A,509
1NUW,A,1EYJ,B,AMP
3CJ0,A,2BRL,A,POO
3CJ0,A,3FQK,B,79Z
1UK2,A,2GZ7,A,D3F
2WGB,A,2V57,A,PRL
1HOO,B,1CIB,A,HDA
1FA9,A,1L5S,B,URC
1W50,A,3IXJ,C,586
3B7D,E,2AL4,F,CX6
1PKL,B,3HQP,P,ATP
1PKL,B,3HQP,P,FDP
1PKL,B,3HQP,P,OXL
1K3F,B,1U1D,F,181
1FVR,A,2OO8,X,RAJ
3HQD,A,1Q0B,B,NAT
2ZB1,A,2NPQ,A,BOG
3PEO,G,2BYS,J,LOB
2BRK,A,2GIR,B,NN3
2H4E,B,3CFN,B,2AN
2CGA,B,1AFQ,C,0FG
1XCG,B,1OW3,B,GDP
1FXX,A,3HL8,A,BBP
4AKE,B,1ANK,B,ANP
3NNU,A,3HL7,A,I46
1A8I,A,2IEG,B,FRY
1SWX,A,2EUM,A,LAT
2QLR,C,3DC1,A,AKG
2F6V,A,1T49,A,892
1G24,D,1GZF,C,NIR
1SU4,A,3FGO,B,ACP
2AIR,H,1ZA1,D,CTP
1E2X,A,1H9G,A,MYR
1MY0,B,1N0T,D,AT1
1ZAH,B,2OT1,D,N3P
4HB2,C,4HAT,C,LMB
1BSQ,A,1GX8,A,RTL
2GPO,A,1S9Q,B,CHD
3FDL,A,2YXJ,A,N3C
1B6B,A,1KUV,A,CA5
1KZ7,D,1GRN,A,AF3
1JWP,A,1PZO,A,CBT
3GXD,B,2WCG,A,MT5
1BNC,B,2V5A,A,LZL
1Z92,A,1PY2,A,FRH
1JBU,H,1WUN,H,P5B
