holoid_chain,apoid_chain
2ieg_B,5ox4_A 5owz_A 5ox1_A 5o50_A 5lrd_A 6f3r_A 5ox3_A 6f3s_A 5owy_A 5mem_A 6f3l_A 5ox0_A 5jtt_A 4yi3_A 1a8i_A 4mi9_A 5mcb_A 5jtu_A 1ww3_A 4mi6_A 4yi5_A 1c8k_A 2qrh_A 1xc7_A 2qrq_A 3zcp_A 3l79_A 2qrg_A 4cto_A 3l7a_A 2qrp_A 2qn7_A 3l7c_A 3bd7_A 4ctm_A 1xl0_A 5lrc_A 1ww2_A 1gpb_A 4mho_A 1z62_A 4el5_A 4mhs_A 3ebo_A 2pyi_A 2qrm_A 4yua_A 2f3q_A 2qn3_A 2f3p_A
1cib_A,1ade_A 1ade_B 1hoo_B 1hon_A 1hon_B 1adi_A 1adi_B 1ade_A 1ade_B 1hoo_B 1hon_A 1hon_B 1adi_A 1adi_B
1lic_A,1g7n_A 1lib_A 3js1_A 3js1_B 1ab0_A 1a2d_A 1a2d_B 1a18_A 1alb_A 1acd_A 5c0n_A 5c0n_B 5d8j_A
1nx3_A,4phj_A 4phj_B 4phn_A 4phn_B 1alv_A 1alv_B 1nx1_A 1nx1_B 1nx2_A 1nx0_A 1nx0_B 1kfu_S 1kfx_S
1kuv_A,1b6b_A 1b6b_B
2v5a_A,2w6z_B 2v5a_B
1ryo_A,1bp5_A 1bp5_B 1bp5_C 1bp5_D 1btj_A 1btj_B
1gx8_A,4tlj_A 4tlj_B 1beb_A 1b8e_A 1qg5_A 1uz2_X 6fxb_A 6fxb_B 6fxb_C 6fxb_D 6qpe_A 2q2m_A 6ryt_A 3npo_A 6nkq_A 6nkq_B 6nkq_C 6nkq_D 6nkq_E 6nkq_F 4lzu_A 1bsy_A 1bsq_A 4omw_B 4lzv_A 3blg_A 3ph5_A 3ph5_B 5hte_A 3ph6_A 3ph6_B 2blg_A 2q39_A 2q39_B 2q2p_A 5io5_A 2akq_A 2akq_B 2akq_C 2akq_D 1dv9_A 1cj5_A
1ctr_A,4djc_A 3gof_A 3gof_B 3gp2_A 4lzx_A 2w73_A 2w73_B 2w73_E 2w73_F 2f3y_A 5dow_A 5dow_C 5dow_E 5dow_G 4j9y_R 2o60_A 5v03_R 6u3a_A 6u3a_B 6dad_A 6dad_B 5nin_A 4g28_R 6u3b_A 4g27_R 1g4y_R 4j9z_R 6u3d_A 6u3d_B 2f3z_A 1prw_A 5jqa_A 1mxe_A 1mxe_B 1yr5_A 5jth_A 1cll_A 5v02_R 2wel_D 3bya_A 3sjq_A 3sjq_B 6mba_B 5k8q_A 4bw7_A 4bw7_C 1ahr_A 1iq5_A 5wbx_R 1cm4_A
1ey3_F,1mj3_D 2dub_C 2dub_D 1dub_D
1h9g_A,1hw1_A 1hw1_B 1e2x_A 1hw2_A 1hw2_B 1h9t_A 1h9t_B
1ecc_B,6czf_A 6czf_B 6czf_C 6czf_D 1ecj_B 1ecj_D 6ott_A 6ott_B
1gky_A,1ex6_A 1ex6_B 4f4j_A 4f4j_B
1ha3_B,2c77_A 1exm_A 1eft_A 1ttt_A 1ttt_B 1ttt_C 1tui_A 1tui_B 1tui_C 1aip_A 1aip_B 1aip_E 1aip_F 1zc8_Y
1l5s_B,2ati_A 2ati_B 1xoi_A 1xoi_B 3cem_A 3cem_B 1l5r_B 1em6_A 1em6_B 1fc0_A 1fc0_B 1fa9_A 3ceh_A 3ceh_B 1exv_A 1exv_B 3cej_A 3cej_B 2zb2_A 2zb2_B
2oo8_X,1fvr_A 1fvr_B
3hl8_A,2qxf_A 3c95_A 4hcb_A 4hcb_B 4jrp_A 1fxx_A 3c94_A 4hcc_A 4hcc_B 4jrq_A 4jrq_B 4js4_A 4js4_B 4js5_A 4js5_B
1gzf_C,2a78_B 1g24_A 1g24_B 1g24_C 1g24_D 2c89_A 1uzi_A 1uzi_B 2c8g_A 2c8f_F 2c8f_G 1gze_A 1gze_B 1gze_C 1gze_D
2ixu_A,1h09_A 1oba_A
1ghy_H,3sqe_E 1hag_E 3sqh_E 1mh0_A 1mh0_B
3ip0_A,1tmj_A 3ili_A 1kbr_A 1hka_A 3kue_A 3hsd_B 3ill_A 1im6_A 1g4c_A 1g4c_B 3hcx_A 3kug_A 2f63_A 2f65_A 1eq0_A
1imb_B,1ime_A 1ime_B 1imf_A
1wun_H,1jbu_H 1fak_H
1pzo_A,1yt4_A 5hw5_A 5hw5_B 5hw5_C 5hw5_D 6ayk_A 6ayk_B 6ayk_C 6ayk_D 5kpu_A 5kpu_B 5kpu_C 5kpu_D 1pzp_A 1li9_A 1zg4_A 5hvi_A 5hvi_B 5hvi_C 5hvi_D 5hw1_A 5hw1_B 5hw1_C 5hw1_D 2b5r_A 2b5r_B 5i52_A 5i52_B 5i52_C 5i52_D 4zj2_A 1jwp_A 5kkf_A 5kkf_B 5kkf_C 5kkf_D 4gku_A 5i63_A 5i63_B 5i63_C 5i63_D 1lhy_A 3cmz_A 6apa_A 6apa_B 6apa_C 6apa_D 5npo_A 1xxm_A 1xxm_B
1u1d_F,1rxy_A 2qdk_A 2oxf_A 2pga_A 3dps_A 1zl2_A 2iq5_A 1lx7_A 2hsw_A 1y1r_A 1t0u_B 2oec_A 2oec_D 2oec_E 1k3f_A 1k3f_B 1k3f_C 1k3f_D 1k3f_E 1k3f_F 4ogk_C 1rxs_A 1rxs_L 1rxs_d 1rxs_m 1rxs_o 1sj9_A 1sj9_C 1sj9_D 1sj9_E 1sj9_F 1ryz_A 1ryz_C 1ryz_D 1ryz_E 1ryz_F
2egh_B,1k5h_A 1k5h_C
2ofp_A,1ks9_A 1yjq_A
1grn_A,1kz7_B 1kz7_D 6tky_C 3gcg_A 1kzg_B 1kzg_D 6ajl_B 6ajl_D 6ajl_F 6ajl_H 6aj4_B 6aj4_D 6aj4_F 6aj4_H 5fi1_B 5upl_B 2kb0_A 2ase_A 1ees_A 1aje_A
2hka_C,1nep_A 2hka_A
3hok_B,1ni6_A 1ni6_B 1ni6_C 1ni6_D 1s8c_B 1s8c_C 1s8c_D
1eyj_B,1nuw_A 1nux_A 5fbp_B 1fpb_B 1fbh_A 1fbh_B 1fbc_A 1fbc_B 1fbf_A 1fbf_B 1fbd_A 1fbd_B 3fbp_A 3fbp_B 2fbp_A 2fbp_B 1fbg_A 1fbg_B 1rdx_A 1rdx_B 1fbe_A 1fbe_B 1fpk_A 1fpk_B 4gwu_A
